#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	stats
#open	2018-04-03-20-53-01
#fields	ts	peer	mem	pkts_proc	bytes_recv	pkts_dropped	pkts_link	pkt_lag	events_proc	events_queued	active_tcp_conns	active_udp_conns	active_icmp_conns	tcp_conns	udp_conns	icmp_conns	timers	active_timers	files	active_files	dns_requests	active_dns_requests	reassem_tcp_size	reassem_file_size	reassem_frag_size	reassem_unknown_size
#types	time	string	count	count	count	count	count	interval	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count
172808.829565	bro	64	215	25480	-	-	-	428	427	0	0	44	4	0	142	698	76	2	0	0	1	0	0	0	0
173111.546306	bro	64	198	28994	-	-	-	362	370	0	0	34	2	2	99	628	67	2	0	0	1	0	0	0	0
173412.827519	bro	64	247	27769	-	-	-	410	400	1	2	49	1	2	127	665	85	2	0	0	1	0	0	0	0
173714.642439	bro	64	169	12240	-	-	-	374	375	0	0	4	3	2	105	622	36	0	0	0	1	0	0	0	0
174016.646679	bro	64	248	34734	-	-	-	456	455	0	0	44	5	0	141	677	77	3	0	0	1	0	0	0	0
174337.787947	bro	64	184	28534	-	-	-	390	396	1	0	2	2	0	98	574	36	3	0	0	1	0	0	0	0
174639.225991	bro	64	211	15894	-	-	-	406	400	0	0	51	3	2	145	694	83	0	0	0	1	0	0	0	0
174940.745431	bro	64	134	10220	-	-	-	340	339	0	0	4	0	0	101	566	37	0	0	0	1	0	0	0	0
175241.111119	bro	64	255	36186	-	-	-	439	443	0	1	40	5	1	135	646	73	3	0	0	1	0	0	0	0
175543.801912	bro	64	662	63129	-	-	-	313	326	0	0	9	1	0	99	806	37	1	0	0	1	0	0	0	0
175851.438038	bro	64	152	19361	-	-	-	351	336	1	0	5	1	0	100	624	40	2	0	0	1	0	0	0	0
176159.497115	bro	64	219	26074	-	-	-	449	450	0	0	43	4	2	144	675	77	2	0	0	1	0	0	0	0
176459.716759	bro	64	148	10974	-	-	-	342	342	0	0	5	3	0	101	601	36	0	0	0	1	0	0	0	0
176763.295708	bro	64	235	32445	-	-	-	442	441	0	0	43	2	2	138	622	76	2	0	0	1	0	0	0	0
177074.797828	bro	64	157	19683	-	-	-	371	371	0	0	4	1	0	100	592	37	2	0	0	1	0	0	0	0
177380.733148	bro	64	214	25846	-	-	-	451	451	0	0	42	4	2	144	602	75	2	0	0	1	0	0	0	0
177691.866056	bro	64	175	19846	-	-	-	369	368	0	0	4	4	0	100	560	38	1	0	0	1	0	0	0	0
177991.946658	bro	64	216	31618	-	-	-	424	429	1	0	39	2	0	135	659	72	3	0	0	1	0	0	0	0
178292.339686	bro	64	160	12080	-	-	-	332	326	0	0	50	3	2	107	638	83	0	0	0	1	0	0	0	0
178605.599322	bro	64	162	20353	-	-	-	375	379	0	0	4	1	0	100	591	35	2	0	0	1	0	0	0	0
178910.045842	bro	64	227	23946	-	-	-	412	411	0	0	45	4	0	141	672	76	1	0	0	1	0	0	0	0
179210.307509	bro	64	186	29240	-	-	-	394	396	0	0	3	2	0	97	597	31	3	0	0	1	0	0	0	0
179515.658039	bro	64	203	24834	-	-	-	409	410	0	0	45	1	0	140	633	75	2	0	0	1	0	0	0	0
179817.776906	bro	64	186	20534	-	-	-	381	377	0	0	4	4	0	103	637	36	1	0	0	1	0	0	0	0
180117.783517	bro	64	196	30190	-	-	-	386	386	0	0	8	2	2	104	634	39	3	0	0	1	0	0	0	0
180421.840136	bro	64	200	24350	-	-	-	400	400	0	0	44	1	0	134	675	75	2	0	0	1	0	0	0	0
180723.380122	bro	64	179	20108	-	-	-	372	370	0	0	4	4	0	100	537	38	1	0	0	1	0	0	0	0
181025.598486	bro	64	230	32182	-	-	-	431	435	1	0	42	2	0	137	589	75	3	0	0	1	0	0	0	0
181329.470885	bro	64	164	12204	-	-	-	362	361	0	0	11	3	2	106	654	41	0	0	0	1	0	0	0	0
181629.689316	bro	64	195	24034	-	-	-	402	403	0	0	38	1	0	132	579	71	2	0	0	1	0	0	0	0
181933.129345	bro	64	191	20806	-	-	-	343	349	0	0	35	4	0	104	611	67	1	0	0	1	0	0	0	0
182242.774858	bro	64	189	29032	-	-	-	396	391	1	0	5	2	0	102	654	37	3	0	0	1	0	0	0	0
182558.257565	bro	64	209	15698	-	-	-	409	411	0	0	44	3	2	145	743	73	0	0	0	1	0	0	0	0
182861.607285	bro	64	177	21992	-	-	-	385	382	0	0	5	4	0	99	582	34	2	0	0	1	0	0	0	0
183166.843237	bro	64	233	31817	-	-	-	423	423	0	0	43	2	0	138	614	74	2	0	0	1	0	0	0	0
183491.389327	bro	64	171	20159	-	-	-	367	372	1	0	2	1	0	100	638	32	2	0	0	1	0	0	0	0
183800.911342	bro	64	197	14892	-	-	-	405	399	0	0	44	3	2	141	701	76	0	0	0	1	0	0	0	0
184113.322983	bro	64	179	20536	-	-	-	384	384	0	0	4	4	0	100	606	36	2	0	0	1	0	0	0	0
184415.017562	bro	64	237	32167	-	-	-	428	427	0	0	44	2	0	140	641	76	2	0	0	1	0	0	0	0
184717.152123	bro	64	185	30195	-	-	-	407	409	0	0	2	2	0	96	573	35	4	0	0	1	0	0	0	0
185017.316511	bro	64	217	23270	-	-	-	395	396	1	0	41	4	0	136	664	74	1	0	0	1	0	0	0	0
185328.905427	bro	64	199	29576	-	-	-	370	410	1	0	4	2	0	104	606	36	3	0	0	1	0	0	0	0
185634.008950	bro	64	170	12456	-	-	-	362	322	0	0	11	3	2	106	629	39	0	0	0	1	0	0	0	0
185936.645450	bro	64	208	23522	-	-	-	428	424	0	0	44	1	0	141	616	78	2	0	0	1	0	0	0	0
186237.565316	bro	64	184	20778	-	-	-	369	371	0	0	5	4	0	101	631	37	1	0	0	1	0	0	0	0
186542.400357	bro	64	226	32082	-	-	-	434	433	1	0	41	2	0	136	620	78	3	0	0	1	0	0	0	0
186844.794638	bro	64	165	12090	-	-	-	366	366	0	0	4	3	2	105	647	35	0	0	0	1	0	0	0	0
187144.815511	bro	64	183	22870	-	-	-	367	368	0	0	22	1	0	117	589	56	2	0	0	1	0	0	0	0
187445.795410	bro	64	192	21750	-	-	-	389	391	0	0	43	4	2	122	652	72	1	0	0	1	0	0	0	0
187761.477629	bro	64	182	28538	-	-	-	401	398	1	0	4	2	0	100	641	39	3	0	0	1	0	0	0	0
188072.688657	bro	64	200	15476	-	-	-	410	412	0	0	44	3	2	146	663	75	0	0	0	1	0	0	0	0
188378.856789	bro	64	156	20900	-	-	-	367	367	0	0	5	1	0	98	613	34	2	0	0	1	0	0	0	0
188679.911319	bro	64	213	23270	-	-	-	411	411	0	0	42	4	0	139	598	73	1	0	0	1	0	0	0	0
189007.298444	bro	64	191	29738	-	-	-	397	400	0	0	4	2	0	101	650	33	3	0	0	1	0	0	0	0
189319.293731	bro	64	196	24490	-	-	-	419	415	0	0	44	1	0	141	709	78	2	0	0	1	0	0	0	0
189622.074226	bro	64	176	19826	-	-	-	368	368	0	0	4	4	0	99	628	35	1	0	0	1	0	0	0	0
189922.238557	bro	64	285	38130	-	-	-	447	447	1	1	50	2	1	145	655	85	3	0	0	1	0	0	0	0
190241.492072	bro	64	417	35182	-	-	-	498	498	0	0	5	3	9	136	844	36	0	0	0	1	0	0	0	0
190546.162936	bro	64	374	40468	-	-	-	387	386	0	0	2	1	3	116	720	34	2	0	0	1	0	0	0	0
190852.937490	bro	64	280	35861	-	-	-	375	374	0	0	6	5	1	108	661	40	2	0	0	1	0	0	0	0
191156.634222	bro	64	205	23866	-	-	-	419	421	0	0	43	1	2	136	656	73	2	0	0	1	0	0	0	0
191459.535175	bro	64	158	19783	-	-	-	363	361	0	0	1	1	0	93	592	36	2	0	0	1	0	0	0	0
191762.103657	bro	64	212	29655	-	-	-	349	355	0	0	8	5	0	103	659	37	2	0	0	1	0	0	0	0
192064.285538	bro	64	200	22917	-	-	-	407	401	1	0	43	1	0	135	724	77	2	0	0	1	0	0	0	0
192366.777756	bro	64	156	11492	-	-	-	355	358	0	0	2	3	2	100	654	31	0	0	0	1	0	0	0	0
192666.885910	bro	64	214	25374	-	-	-	413	414	0	0	45	4	0	138	620	74	2	0	0	1	0	0	0	0
192967.304494	bro	64	185	28023	-	-	-	386	381	1	0	3	2	0	98	602	39	2	0	0	1	0	0	0	0
