#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	capture_loss
#open	2018-04-03-20-53-01
#fields	ts	ts_delta	peer	gaps	acks	percent_lost
#types	time	interval	string	count	count	double
173563.604691	900.882941	bro	0	18	0.0
174467.380348	903.775657	bro	0	25	0.0
175370.356645	902.976297	bro	0	12	0.0
176273.175602	902.818957	bro	0	17	0.0
177173.705316	900.529714	bro	0	20	0.0
178074.856178	901.150862	bro	0	24	0.0
178978.545024	903.688846	bro	0	20	0.0
179879.927261	901.382237	bro	0	23	0.0
180785.422967	905.495706	bro	0	18	0.0
181687.585313	902.162346	bro	0	17	0.0
182605.165945	917.580632	bro	0	19	0.0
183505.309637	900.143692	bro	0	24	0.0
184405.489134	900.179497	bro	0	18	0.0
185305.797088	900.307954	bro	0	32	0.0
186212.595399	906.798311	bro	0	13	0.0
187115.761154	903.165755	bro	0	17	0.0
188018.929378	903.168224	bro	0	19	0.0
188926.755507	907.826129	bro	0	24	0.0
189830.019475	903.263968	bro	0	18	0.0
190730.280112	900.260637	bro	0	18	0.0
191633.208527	902.928415	bro	0	27	0.0
192536.839949	903.631422	bro	0	17	0.0
193438.341214	901.501265	bro	0	19	0.0
194349.615038	911.273824	bro	0	25	0.0
195255.049058	905.434020	bro	0	13	0.0
196158.649413	903.600355	bro	0	19	0.0
197058.806533	900.157120	bro	0	19	0.0
197962.328597	903.522064	bro	0	24	0.0
198869.038582	906.709985	bro	0	15	0.0
199774.465478	905.426896	bro	0	19	0.0
200675.897223	901.431745	bro	0	19	0.0
201583.136107	907.238884	bro	0	25	0.0
202484.690489	901.554382	bro	0	6	0.0
203388.500863	903.810374	bro	0	19	0.0
204295.070775	906.569912	bro	0	18	0.0
205195.112404	900.041629	bro	0	11	0.0
206096.633884	901.521480	bro	0	19	0.0
207001.351812	904.717928	bro	0	25	0.0
207905.011195	903.659383	bro	0	18	0.0
208815.386834	910.375639	bro	0	11	0.0
209736.087099	920.700265	bro	0	24	0.0
210637.680921	901.593822	bro	0	19	0.0
211538.078090	900.397169	bro	0	24	0.0
212440.053870	901.975780	bro	0	18	0.0
213344.625754	904.571884	bro	0	11	0.0
214247.262981	902.637227	bro	0	20	0.0
215147.333011	900.070030	bro	0	24	0.0
216049.908230	902.575219	bro	0	20	0.0
216955.583403	905.675173	bro	0	18	0.0
217857.911120	902.327717	bro	0	17	0.0
218758.314944	900.403824	bro	0	25	0.0
219663.099887	904.784943	bro	0	20	0.0
220566.334602	903.234715	bro	0	24	0.0
221467.631243	901.296641	bro	0	20	0.0
222372.541108	904.909865	bro	0	11	0.0
223272.682855	900.141747	bro	0	19	0.0
224175.934299	903.251444	bro	0	25	0.0
225083.378302	907.444003	bro	0	24	0.0
225987.795922	904.417620	bro	0	24	0.0
226888.965200	901.169278	bro	0	12	0.0
227789.143506	900.178306	bro	0	18	0.0
228694.632571	905.489065	bro	0	23	0.0
229619.190366	924.557795	bro	0	18	0.0
230526.334492	907.144126	bro	0	23	0.0
231426.366245	900.031753	bro	0	14	0.0
232331.210115	904.843870	bro	0	17	0.0
233236.732627	905.522512	bro	0	19	0.0
234136.996051	900.263424	bro	0	24	0.0
235039.818989	902.822938	bro	0	13	0.0
235940.334360	900.515371	bro	0	17	0.0
236846.505828	906.171468	bro	0	24	0.0
237747.076962	900.571134	bro	0	20	0.0
238677.053151	929.976189	bro	0	26	0.0
239585.174602	908.121451	bro	0	19	0.0
240485.232924	900.058322	bro	0	11	0.0
241386.438459	901.205535	bro	0	19	0.0
242289.277828	902.839369	bro	0	24	0.0
243189.912886	900.635058	bro	0	18	0.0
244092.690978	902.778092	bro	0	25	0.0
245001.574818	908.883840	bro	0	11	0.0
245904.214538	902.639720	bro	0	19	0.0
246807.934658	903.720120	bro	0	24	0.0
247708.989658	901.055000	bro	0	17	0.0
248613.057719	904.068061	bro	0	30	0.0
249513.287825	900.230106	bro	0	12	0.0
250413.664155	900.376330	bro	0	18	0.0
251314.088765	900.424610	bro	0	20	0.0
252214.560796	900.472031	bro	0	25	0.0
253114.968877	900.408081	bro	0	13	0.0
254015.585037	900.616160	bro	0	17	0.0
254916.042916	900.457879	bro	0	18	0.0
255816.216634	900.173718	bro	0	24	0.0
256716.667713	900.451079	bro	0	13	0.0
257616.769346	900.101633	bro	0	17	0.0
258517.415294	900.645948	bro	0	19	0.0
#close	2018-04-03-20-55-24
